,pdb,beta,nsus,run,auc,auc_01,execution_time,count_seq_scpe,count_seq_cluster,seq_lenght,execution_time_optimization_total
1,2TRX,0.5,1.0,1000,0.67161879589681528,0.51213624785988665,28.41275691986084,1051.0,826.0,108.0,155064.659118
2,2TRX,0.5,1.0,5000,0.7145124328588538,0.52564789744813978,52.358253955841064,4621.0,3829.0,108.0,155064.659118
3,2TRX,0.5,1.0,10000,0.74441821401390473,0.55310953887504388,97.71089100837708,8861.0,7468.0,108.0,155064.659118
4,2TRX,0.5,1.0,20000,0.77725700868020298,0.57590010337394015,251.136372089386,17441.0,14801.0,108.0,155064.659118
5,2TRX,0.5,2.0,1000,0.71188030607850195,0.52039347808240388,37.244818925857544,5571.0,1656.0,108.0,155064.659118
6,2TRX,0.5,2.0,5000,0.73265328998991142,0.55385246806614319,103.55409979820251,26911.0,7820.0,108.0,155064.659118
7,2TRX,0.5,2.0,10000,0.74979961955106356,0.57111550723714988,245.7699179649353,54631.0,16014.0,108.0,155064.659118
8,2TRX,0.5,2.0,20000,0.79399962747357122,0.61883944300429961,691.442981004715,108941.0,31892.0,108.0,155064.659118
9,2TRX,0.5,3.0,1000,0.69426284015160644,0.53848375610971588,39.68142104148865,10101.0,2552.0,108.0,155064.659118
10,2TRX,0.5,3.0,5000,0.71936539027200319,0.56449881132866575,151.4430708885193,49601.0,12348.0,108.0,155064.659118
11,2TRX,0.5,3.0,10000,0.75337401906290224,0.5731726618276326,377.75562596321106,99531.0,24838.0,108.0,155064.659118
12,2TRX,0.5,3.0,20000,0.78386134600035562,0.61446583431205237,1128.998950958252,199181.0,49702.0,108.0,155064.659118
13,2TRX,0.5,5.0,1000,0.70300456892708174,0.54524511882018811,51.32500100135803,14981.0,3635.0,108.0,155064.659118
14,2TRX,0.5,5.0,5000,0.71133078745513034,0.58140139839277627,227.5807659626007,74791.0,18181.0,108.0,155064.659118
15,2TRX,0.5,5.0,10000,0.74620583517981143,0.58467399950558008,592.4386579990387,148801.0,36096.0,108.0,155064.659118
16,2TRX,0.5,5.0,20000,0.75496526317475121,0.60772398477479928,1855.8804879188538,298441.0,72365.0,108.0,155064.659118
17,2TRX,0.5,7.0,1000,0.70291691564973413,0.53667048853587007,53.42405700683594,15571.0,3854.0,108.0,155064.659118
18,2TRX,0.5,7.0,5000,0.71177411076171537,0.56613298165712611,248.97320985794067,78861.0,19464.0,108.0,155064.659118
19,2TRX,0.5,7.0,10000,0.73371777161770024,0.58863181890313709,656.8849649429321,156731.0,38614.0,108.0,155064.659118
20,2TRX,0.5,7.0,20000,0.71451159003887921,0.58508026294359716,2035.862200975418,315031.0,77481.0,108.0,155064.659118
21,2TRX,0.5,10.0,1000,0.67297573605575423,0.55190659572123124,54.67288589477539,15831.0,3917.0,108.0,155064.659118
22,2TRX,0.5,10.0,5000,0.71425115866676003,0.5728415051510215,250.53119802474976,79701.0,19719.0,108.0,155064.659118
23,2TRX,0.5,10.0,10000,0.716126433110014,0.56800394676536625,679.3200681209564,158911.0,39409.0,108.0,155064.659118
24,2TRX,0.5,10.0,20000,0.70382968968211368,0.58662223137466096,2126.2657418251038,319701.0,79172.0,108.0,155064.659118
25,2TRX,0.5,15.0,1000,0.68478954363826838,0.54192034438241643,57.47555708885193,16071.0,3971.0,108.0,155064.659118
26,2TRX,0.5,15.0,5000,0.70717062806101683,0.56303581235008049,264.02009105682373,80101.0,19915.0,108.0,155064.659118
27,2TRX,0.5,15.0,10000,0.70451490232137903,0.5648754452271787,693.2617120742798,159841.0,39658.0,108.0,155064.659118
28,2TRX,0.5,15.0,20000,0.71756512680647921,0.59484683117430603,2162.149714946747,319551.0,79353.0,108.0,155064.659118
29,2TRX,1.00,1.0,1000,0.64721241507535243,0.50172580885910667,26.884469985961914,291.0,280.0,108.0,155064.659118
30,2TRX,1.00,1.0,5000,0.67646585357014333,0.49776064256076769,32.937196016311646,1021.0,997.0,108.0,155064.659118
31,2TRX,1.00,1.0,10000,0.69403949285836497,0.49692503230976409,44.42699193954468,2241.0,2211.0,108.0,155064.659118
32,2TRX,1.00,1.0,20000,0.72877631810722854,0.50731725136511141,68.8489899635315,4271.0,4190.0,108.0,155064.659118
33,2TRX,1.00,2.0,1000,0.67379748553088814,0.4981922329261288,33.426913022994995,3911.0,1044.0,108.0,155064.659118
34,2TRX,1.00,2.0,5000,0.72207084239013619,0.5160874028814193,84.27123403549194,19121.0,5221.0,108.0,155064.659118
35,2TRX,1.00,2.0,10000,0.7593942821407289,0.53245506409938714,193.78297090530396,38371.0,10489.0,108.0,155064.659118
36,2TRX,1.00,2.0,20000,0.78533796659567301,0.56362532964365264,556.5628049373627,76641.0,20861.0,108.0,155064.659118
37,2TRX,1.00,3.0,1000,0.71224356148750989,0.50380520247520244,39.94404911994934,7861.0,2002.0,108.0,155064.659118
38,2TRX,1.00,3.0,5000,0.7754643305944493,0.55198362480077745,135.67078590393066,38711.0,9974.0,108.0,155064.659118
39,2TRX,1.00,3.0,10000,0.7920543989724339,0.59522814093745646,338.5567719936371,76811.0,19858.0,108.0,155064.659118
40,2TRX,1.00,3.0,20000,0.83175796233100407,0.62407951295469155,1018.6187400817871,154561.0,39768.0,108.0,155064.659118
41,2TRX,1.00,5.0,1000,0.71600590985366119,0.53335792925058967,51.324952840805054,15301.0,3501.0,108.0,155064.659118
42,2TRX,1.00,5.0,5000,0.77812089915406157,0.59976186690790867,227.9490180015564,75391.0,17154.0,108.0,155064.659118
