,contact_threashold,contacts_count,spearman_zmip_evol_nat,par_positions_count,auc_nat,auc_nat_01,auc,auc_01
1,1.0,788.0,0.1985889979371438,2415.0,0.741666813182397,0.6422683249960721,0.7422495271728072,0.678062934866869
2,16.0,282.0,0.1985889979371438,2415.0,0.8351921505517194,0.7208781195853826,0.9711290755191277,0.8885392580721698
3,32.0,216.0,0.1985889979371438,2415.0,0.8616128048291031,0.7549871124480958,0.9826012618600395,0.916072711255898
4,48.0,144.0,0.1985889979371438,2415.0,0.8693685683122303,0.7622112033414137,0.9765139659505857,0.8303778319498102
5,64.0,4.0,0.1985889979371438,2415.0,0.9542063820969748,0.7571304264832102,0.982387070037298,0.8842453505958738
